 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 47
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 89
 >14.4f | find_shortest_path_new | TRACE | start: 89, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (89, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 19712.104017090365, Position: 89
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 89
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 129
 >14.4f | find_shortest_path_new | TRACE | start: 129, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (129, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 15902.571032088741, Position: 129
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 129
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 215
 >14.4f | find_shortest_path_new | TRACE | start: 215, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (215, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 13918.926355423164, Position: 215
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 215
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 346
 >14.4f | find_shortest_path_new | TRACE | start: 346, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (346, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 30141.30960167355, Position: 346
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 346
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 381
 >14.4f | find_shortest_path_new | TRACE | start: 381, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (381, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 8133.365447505521, Position: 381
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 381
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 428
 >14.4f | find_shortest_path_new | TRACE | start: 428, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (414, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 28734.887611065675, Position: 414
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 428
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 463
 >14.4f | find_shortest_path_new | TRACE | start: 463, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (414, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 44552.11762991318, Position: 414
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 463
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 510
 >14.4f | find_shortest_path_new | TRACE | start: 510, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (509, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 41863.996162713156, Position: 509
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 510
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 547
 >14.4f | find_shortest_path_new | TRACE | start: 547, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (547, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 130252.92484644659, Position: 547
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 547
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 584
 >14.4f | find_shortest_path_new | TRACE | start: 584, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (579, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 44708.005938249196, Position: 579
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 584
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 622
 >14.4f | find_shortest_path_new | TRACE | start: 622, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (622, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 61081.72042220466, Position: 622
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 622
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 652
 >14.4f | find_shortest_path_new | TRACE | start: 652, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (652, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 50600.98220125516, Position: 652
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 652
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 678
 >14.4f | find_shortest_path_new | TRACE | start: 678, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (678, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 27892.24363167035, Position: 678
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 678
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 707
 >14.4f | find_shortest_path_new | TRACE | start: 707, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
