Row, Cumulative Sum
531, 184365
532, 189210
533, 196350
534, 195330
535, 191250
536, 193290
537, 188445
538, 192270
539, 197115
540, 208590
541, 217515
542, 225675
543, 231285
544, 230520
545, 231540
546, 228735
547, 229245
548, 224400
549, 223380
550, 230010
551, 233580
552, 232305
553, 231285
554, 227970
555, 224655
556, 222360
557, 221085
558, 224910
559, 225420
560, 223890
561, 215475
562, 207060
563, 214200
564, 215475
565, 212670
566, 211395
567, 204510
568, 201195
569, 188445
570, 177990
571, 170595
572, 178245
573, 179265
574, 190995
575, 203235
576, 217515
577, 230010
578, 239445
579, 244035
580, 245820
581, 244035
582, 242505
583, 242250
584, 241740
585, 241485
586, 238170
587, 236640
588, 234345
589, 232560
590, 228990
591, 216495
592, 210630
593, 204510
594, 216240
595, 217515
596, 218535
597, 220320
598, 220320
599, 218790
600, 214965
601, 204765
602, 207315
603, 213180
604, 215475
605, 214965
606, 210120
607, 206040
608, 200430
609, 201705
610, 187425
611, 173145
612, 164985
613, 157335
614, 165750
615, 180795
616, 210120
617, 221850
618, 226185
619, 227970
620, 230010
621, 230265
622, 225930
623, 224400
624, 225420
625, 228225
626, 231030
627, 232050
628, 234090
629, 233070
630, 228225
631, 221595
632, 215475
633, 219045
634, 213690
635, 207060
636, 212415
637, 220320
638, 212160
639, 204000
640, 205785
641, 200175
642, 201450
643, 200175
644, 195840
645, 188955
646, 171870
647, 168555
648, 171105
649, 186150
650, 198390
651, 211395
652, 222360
653, 226185
654, 226440
655, 231540
656, 235365
657, 233835
658, 229500
659, 228225
660, 226695
661, 223125
662, 213690
663, 212160
664, 220575
665, 221085
666, 218280
667, 217260
668, 214710
669, 212670
670, 213945
671, 218535
672, 215475
673, 212925
674, 206040
675, 202215
676, 205530
677, 212415
678, 210630
679, 204000
680, 200175
681, 198390
682, 193290
683, 188700
684, 187680
685, 195585
686, 204510
687, 212160
688, 224145
689, 226695
690, 227460
691, 226695
692, 226185
693, 224655
694, 223380
695, 222615
696, 223125
697, 221850
698, 221850
699, 210885
700, 203490
701, 199155
702, 193545
703, 187425
704, 192525
705, 183090
706, 172380
707, 167280
708, 178755
709, 186150
710, 186405
711, 185640
712, 189720
713, 189210
714, 182070
715, 178755
716, 177225
717, 184365
718, 189210
719, 195585
720, 213180
721, 229245
722, 226185
723, 220830
724, 214710
725, 213435
726, 210375
727, 209610
728, 212925
729, 220320
730, 223125
731, 224400
732, 224400
733, 228225
734, 226695
735, 225420
736, 225165
737, 227970
738, 225675
739, 220320
740, 219810
741, 220575
742, 214710
743, 208845
744, 213180
745, 220830
746, 222615
747, 218025
748, 222360
749, 219810
750, 213180
751, 211650
752, 203745
753, 198645
754, 183345
755, 170595
756, 162690
757, 159120
758, 163710
759, 192015
760, 212160
761, 226695
762, 231285
763, 228735
764, 224910
765, 231795
766, 234345
767, 233325
768, 232305
769, 230775
770, 231285
771, 234090
772, 233835
773, 233325
774, 230520
775, 228225
776, 226440
777, 222615
778, 217005
779, 212670
780, 211395
781, 206040
782, 205020
783, 206550
784, 206805
785, 206040
786, 208845
787, 209100
788, 210630
789, 211140
790, 210885
791, 211905
792, 212415
793, 209100
794, 195075
795, 184365
796, 188700
797, 192270
798, 198390
799, 200685
800, 207315
801, 209100
802, 204510
803, 200430
804, 200430
805, 199155
806, 197370
807, 199155
808, 203490
809, 201960
810, 197370
811, 192780
812, 196605
813, 196095
814, 199665
815, 200685
816, 206805
817, 208845
818, 207060
819, 204000
820, 206805
821, 202215
822, 203745
823, 210630
824, 215220
825, 212160
826, 207315
827, 202725
828, 202215
829, 203235
830, 194820
831, 192525
832, 192525
833, 200430
834, 191250
835, 184620
836, 183600
837, 188445
838, 200430
839, 203745
840, 205530
841, 212160
842, 217515
843, 222870
844, 223635
845, 223380
846, 220830
847, 221850
848, 220575
849, 220065
850, 214965
851, 213435
852, 211395
853, 202470
854, 204510
855, 208590
856, 214710
857, 214965
858, 213180
859, 210630
860, 206805
861, 202470
862, 199155
863, 193290
864, 186150
865, 178755
866, 178755
867, 176205
868, 175950
869, 179775
870, 179520
871, 182835
872, 187170
873, 198390
874, 197880
875, 204255
876, 207570
877, 215475
878, 221085
879, 224145
880, 227715
881, 229500
882, 226695
883, 226950
884, 228735
885, 230520
886, 227205
887, 221850
888, 220575
889, 226695
890, 229755
891, 231030
892, 229755
893, 227460
894, 224910
895, 217770
896, 205530
897, 199665
898, 192525
899, 198645
900, 210885
901, 211905
902, 208080
903, 202470
904, 197625
905, 187935
906, 182580
907, 179775
908, 180540
909, 187935
910, 194565
911, 202215
912, 208590
913, 210885
914, 210885
915, 214710
916, 217005
917, 217515
918, 213180
919, 208080
920, 206040
921, 206040
922, 205275
923, 207570
924, 208080
925, 207060
926, 199155
927, 197115
928, 199155
929, 204255
930, 207315
931, 204510
932, 201195
933, 200685
934, 202980
935, 208845
936, 211905
937, 216495
938, 215985
939, 214200
940, 209100
941, 200685
942, 195075
943, 193035
944, 196605
945, 197880
946, 205785
947, 212160
948, 217005
949, 217005
950, 214710
951, 206550
952, 205275
953, 207570
954, 205020
955, 202470
956, 199920
957, 195840
958, 194310
959, 193290
960, 198900
961, 203490
962, 205020
963, 207315
964, 210120
965, 206040
966, 208590
967, 208845
968, 205785
969, 208845
970, 207060
971, 206295
972, 205275
973, 205530
974, 202470
975, 198645
976, 196605
977, 194055
978, 193545
979, 192270
980, 195075
981, 196095
982, 194820
983, 202725
984, 207060
985, 207825
986, 202980
987, 202215
988, 201195
989, 206805
990, 208590
991, 214965
992, 221085
993, 218025
994, 217515
995, 217005
996, 213945
997, 207315
998, 207060
999, 204510
1000, 202470
1001, 201450
1002, 196860
1003, 190740
1004, 192780
1005, 196095
1006, 203745
